car_position,car_velocity,action,reward,done,episode_id
-0.4452088,0.0,2,-1.0,False,0
-0.44479132,0.00041747934,2,-1.0,False,0
-0.4439594,0.0008319142,2,-1.0,False,0
-0.4427191,0.0012402851,2,-1.0,False,0
-0.4410795,0.0016396223,2,-1.0,False,0
-0.43905246,0.0020270296,2,-1.0,False,0
-0.43665275,0.0023997093,2,-1.0,False,0
-0.43389776,0.0027549835,2,-1.0,False,0
-0.43080744,0.0030903164,0,-1.0,False,0
-0.4294041,0.0014033349,0,-1.0,False,0
-0.42969787,-0.00029376027,0,-1.0,False,0
-0.4316866,-0.0019887395,0,-1.0,False,0
-0.435356,-0.0036693786,0,-1.0,False,0
-0.4406795,-0.005323496,0,-1.0,False,0
-0.44761848,-0.0069389967,0,-1.0,False,0
-0.45612243,-0.008503927,0,-1.0,False,0
-0.46612898,-0.010006551,0,-1.0,False,0
-0.4775644,-0.011435442,0,-1.0,False,0
-0.49034402,-0.012779604,0,-1.0,False,0
-0.5043726,-0.0140286,0,-1.0,False,0
-0.5195453,-0.015172717,0,-1.0,False,0
-0.5357484,-0.016203117,0,-1.0,False,0
-0.55286044,-0.017112015,0,-1.0,False,0
-0.5707533,-0.017892834,0,-1.0,False,0
-0.58929366,-0.018540353,0,-1.0,False,0
-0.6083445,-0.019050825,0,-1.0,False,0
-0.62776655,-0.019422058,0,-1.0,False,0
-0.64742,-0.019653454,0,-1.0,False,0
-0.667166,-0.019746004,0,-1.0,False,0
-0.68686825,-0.019702233,0,-1.0,False,0
-0.7063943,-0.01952609,0,-1.0,False,0
-0.7256171,-0.019222813,0,-1.0,False,0
-0.7444159,-0.01879874,0,-1.0,False,0
-0.76267695,-0.01826111,0,-1.0,False,0
-0.78029484,-0.017617853,0,-1.0,False,0
-0.7971722,-0.016877357,0,-1.0,False,0
-0.81322044,-0.016048264,0,-1.0,False,0
-0.8283597,-0.015139273,0,-1.0,False,0
-0.8425187,-0.01415896,0,-1.0,False,0
-0.85563433,-0.013115638,0,-1.0,False,0
-0.8676516,-0.012017235,0,-1.0,False,0
-0.87852275,-0.010871215,0,-1.0,False,0
-0.8882073,-0.009684519,0,-1.0,False,0
-0.8966708,-0.008463545,2,-1.0,False,0
-0.901885,-0.005214148,2,-1.0,False,0
-0.903833,-0.0019479619,2,-1.0,False,0
-0.9025086,0.0013243547,2,-1.0,False,0
-0.8979161,0.004592512,2,-1.0,False,0
-0.89007014,0.007845968,2,-1.0,False,0
-0.8789968,0.011073322,2,-1.0,False,0
-0.86473507,0.014261739,2,-1.0,False,0
-0.8473386,0.017396457,2,-1.0,False,0
-0.8268782,0.020460393,2,-1.0,False,0
-0.8034443,0.023433903,2,-1.0,False,0
-0.77714956,0.026294738,2,-1.0,False,0
-0.74813133,0.029018223,2,-1.0,False,0
-0.7165536,0.03157773,2,-1.0,False,0
-0.6826082,0.03394541,2,-1.0,False,0
-0.64651495,0.036093265,2,-1.0,False,0
-0.60852057,0.03799439,2,-1.0,False,0
-0.5688961,0.039624434,2,-1.0,False,0
-0.527933,0.040963117,2,-1.0,False,0
-0.48593736,0.041995622,2,-1.0,False,0
-0.4432236,0.042713765,2,-1.0,False,0
-0.40010682,0.043116774,2,-1.0,False,0
-0.3568952,0.043211628,2,-1.0,False,0
-0.31388238,0.04301282,2,-1.0,False,0
-0.2713407,0.04254168,2,-1.0,False,0
-0.22951548,0.041825227,2,-1.0,False,0
-0.18862067,0.040894803,2,-1.0,False,0
-0.1488362,0.039784484,2,-1.0,False,0
-0.110306606,0.038529586,2,-1.0,False,0
-0.07314138,0.037165225,2,-1.0,False,0
-0.037416216,0.03572517,2,-1.0,False,0
-0.0031753138,0.0342409,2,-1.0,False,0
0.0295657,0.032741014,2,-1.0,False,0
0.06081654,0.031250842,2,-1.0,False,0
0.09060888,0.029792337,2,-1.0,False,0
0.11899301,0.02838413,2,-1.0,False,0
0.14603475,0.027041739,2,-1.0,False,0
0.1718126,0.025777845,2,-1.0,False,0
0.19641525,0.024602653,2,-1.0,False,0
0.2199395,0.023524253,2,-1.0,False,0
0.24248849,0.022548994,2,-1.0,False,0
0.26417032,0.021681838,2,-1.0,False,0
0.28509703,0.02092669,2,-1.0,False,0
0.3053837,0.020286692,2,-1.0,False,0
0.3251482,0.019764498,2,-1.0,False,0
0.3445107,0.019362498,2,-1.0,False,0
0.36359373,0.019083029,2,-1.0,False,0
0.38252228,0.018928548,2,-1.0,False,0
0.40142405,0.01890178,2,-1.0,False,0
0.42042992,0.019005848,2,-1.0,False,0
0.4396743,0.019244377,2,-1.0,False,0
0.45929587,0.019621572,2,-1.0,False,0
0.47943816,0.020142285,2,-1.0,True,0
-0.46954015,0.0,2,-1.0,False,1
-0.4689438,0.0005963352,2,-1.0,False,1
-0.46775556,0.0011882572,2,-1.0,False,1
-0.46598417,0.0017713895,2,-1.0,False,1
-0.46364275,0.0023414283,2,-1.0,False,1
-0.46074855,0.0028941787,2,-1.0,False,1
-0.45732296,0.00342559,2,-1.0,False,1
-0.45339116,0.00393179,2,-1.0,False,1
-0.44898206,0.0044091176,2,-1.0,False,1
-0.44412792,0.0048541543,2,-1.0,False,1
-0.43886414,0.0052637532,2,-1.0,False,1
-0.4332291,0.005635066,2,-1.0,False,1
-0.42726353,0.0059655653,0,-1.0,False,1
-0.42301047,0.004253067,0,-1.0,False,1
-0.4205004,0.0025100524,0,-1.0,False,1
-0.41975132,0.0007490842,0,-1.0,False,1
-0.42076856,-0.0010172336,0,-1.0,False,1
-0.42354482,-0.0027762859,0,-1.0,False,1
-0.42806032,-0.004515473,0,-1.0,False,1
-0.43428254,-0.006222241,0,-1.0,False,1
-0.4421667,-0.007884126,0,-1.0,False,1
-0.45165548,-0.00948881,0,-1.0,False,1
-0.46267968,-0.011024205,0,-1.0,False,1
-0.47515824,-0.012478559,0,-1.0,False,1
-0.48899883,-0.013840586,0,-1.0,False,1
-0.5040985,-0.0150996195,0,-1.0,False,1
-0.52034426,-0.016245788,0,-1.0,False,1
-0.53761446,-0.017270196,0,-1.0,False,1
-0.5557796,-0.01816511,0,-1.0,False,1
-0.5747037,-0.01892413,0,-1.0,False,1
-0.59424603,-0.019542342,0,-1.0,False,1
-0.61426246,-0.020016447,0,-1.0,False,1
-0.6346073,-0.020344822,0,-1.0,False,1
-0.65513486,-0.020527562,0,-1.0,False,1
-0.6757013,-0.020566445,0,-1.0,False,1
-0.69616616,-0.020464854,0,-1.0,False,1
-0.71639377,-0.020227643,0,-1.0,False,1
-0.73625475,-0.01986096,0,-1.0,False,1
-0.7556268,-0.01937205,0,-1.0,False,1
-0.7743958,-0.018769007,0,-1.0,False,1
-0.7924563,-0.01806054,0,-1.0,False,1
-0.8097121,-0.01725574,0,-1.0,False,1
-0.8260759,-0.016363844,0,-1.0,False,1
-0.84146994,-0.015394033,0,-1.0,False,1
-0.85582525,-0.0143552525,0,-1.0,False,1
-0.8690813,-0.013256072,0,-1.0,False,1
-0.8811859,-0.012104571,0,-1.0,False,1
-0.89209414,-0.010908264,0,-1.0,False,1
-0.9017682,-0.009674057,2,-1.0,False,1
-0.9081764,-0.0064082416,2,-1.0,False,1
-0.911299,-0.0031225353,2,-1.0,False,1
-0.91112643,0.00017255681,2,-1.0,False,1
-0.9076593,0.0034671356,2,-1.0,False,1
-0.900908,0.0067512677,2,-1.0,False,1
-0.89089364,0.0100143505,2,-1.0,False,1
-0.8776491,0.013244502,2,-1.0,False,1
-0.86122113,0.016428014,2,-1.0,False,1
-0.84167224,0.019548899,2,-1.0,False,1
-0.8190837,0.022588555,2,-1.0,False,1
-0.79355806,0.025525644,2,-1.0,False,1
-0.7652219,0.028336152,2,-1.0,False,1
-0.73422813,0.030993745,2,-1.0,False,1
-0.70075774,0.03347042,2,-1.0,False,1
-0.6650203,0.035737436,2,-1.0,False,1
-0.6272537,0.037766565,2,-1.0,False,1
-0.58772224,0.039531507,2,-1.0,False,1
-0.54671276,0.04100947,2,-1.0,False,1
-0.5045301,0.042182688,2,-1.0,False,1
-0.4614903,0.04303975,2,-1.0,False,1
-0.41791368,0.043576628,2,-1.0,False,1
-0.37411648,0.043797202,2,-1.0,False,1
-0.3304032,0.043713287,2,-1.0,False,1
-0.2870591,0.04334409,2,-1.0,False,1
-0.24434388,0.04271523,2,-1.0,False,1
-0.20248652,0.041857354,2,-1.0,False,1
-0.16168192,0.040804602,2,-1.0,False,1
-0.12208895,0.03959297,2,-1.0,False,1
-0.083830155,0.03825879,2,-1.0,False,1
-0.04699272,0.036837436,2,-1.0,False,1
-0.01163048,0.03536224,2,-1.0,False,1
0.02223328,0.03386376,2,-1.0,False,1
0.0546026,0.03236932,2,-1.0,False,1
0.08550538,0.030902786,2,-1.0,False,1
0.11498997,0.029484587,2,-1.0,False,1
