cart_position,cart_velocity,pole_angle,pole_angular_velocity,action,reward,done,episode_id
0.027395604,-0.006112156,0.035859793,0.019736802,0,1.0,False,0
0.027273363,-0.20172954,0.03625453,0.32351476,0,1.0,False,0
0.02323877,-0.39734846,0.04272482,0.62740684,1,1.0,False,0
0.015291802,-0.20284806,0.05527296,0.34847975,0,1.0,False,0
0.01123484,-0.39871082,0.062242556,0.65806717,1,1.0,False,0
0.003260624,-0.20450792,0.0754039,0.3856144,1,1.0,False,0
-0.0008295343,-0.010532887,0.08311619,0.11762639,0,1.0,False,0
-0.0010401921,-0.20674129,0.08546872,0.43533102,1,1.0,False,0
-0.0051750178,-0.012926685,0.09417533,0.17076753,1,1.0,False,0
-0.0054335515,0.18073,0.097590685,-0.090783656,0,1.0,False,0
-0.0018189516,-0.015645478,0.095775016,0.23102412,1,1.0,False,0
-0.0021318612,0.17798671,0.10039549,-0.029978251,1,1.0,False,0
0.0014278733,0.3715363,0.09979593,-0.28937405,0,1.0,False,0
0.0088586,0.17514342,0.094008446,0.033040907,1,1.0,False,0
0.012361468,0.3688003,0.09466927,-0.228564,0,1.0,False,0
0.019737475,0.17246196,0.090097986,0.09241601,1,1.0,False,0
0.023186713,0.36618474,0.091946304,-0.17053656,0,1.0,False,0
0.030510409,0.16987528,0.08853558,0.14967795,1,1.0,False,0
0.033907913,0.36362523,0.09152913,-0.1138132,1,1.0,False,0
0.04118042,0.5573246,0.08925287,-0.37627402,0,1.0,False,0
0.05232691,0.3610558,0.08172739,-0.056837194,1,1.0,False,0
0.059548028,0.5549166,0.08059064,-0.32265666,0,1.0,False,0
0.07064636,0.35874507,0.07413752,-0.0056864056,1,1.0,False,0
0.07782126,0.5527298,0.07402378,-0.27408776,0,1.0,False,0
0.08887585,0.35663402,0.068542026,0.040993545,1,1.0,False,0
0.09600854,0.55070955,0.0693619,-0.22930062,0,1.0,False,0
0.107022725,0.3546685,0.06477589,0.08442993,1,1.0,False,0
0.114116095,0.548805,0.066464484,-0.1871333,0,1.0,False,0
0.1250922,0.35279816,0.06272182,0.12575394,1,1.0,False,0
0.13214816,0.5469681,0.0652369,-0.14650013,1,1.0,False,0
0.14308752,0.7410981,0.062306896,-0.41790968,0,1.0,False,0
0.15790948,0.5451511,0.053948704,-0.10625311,1,1.0,False,0
0.1688125,0.7394601,0.051823642,-0.38143933,0,1.0,False,0
0.1836017,0.54364204,0.044194855,-0.07287727,0,1.0,False,0
0.19447455,0.3479153,0.04273731,0.23341525,1,1.0,False,0
0.20143285,0.5424014,0.047405615,-0.04548654,1,1.0,False,0
0.21228088,0.7368126,0.046495885,-0.3228438,0,1.0,False,0
0.22701713,0.5410605,0.040039007,-0.015868038,1,1.0,False,0
0.23783834,0.73558605,0.039721645,-0.29565418,0,1.0,False,0
0.25255007,0.539921,0.033808563,0.009286979,1,1.0,False,0
0.2633485,0.7345422,0.033994302,-0.27254015,0,1.0,False,0
0.27803934,0.53895205,0.0285435,0.030667907,1,1.0,False,0
0.28881836,0.7336533,0.029156858,-0.25287434,0,1.0,False,0
0.30349144,0.5381274,0.02409937,0.048860736,0,1.0,False,0
0.314254,0.34266832,0.025076587,0.34904873,1,1.0,False,0
0.32110736,0.5374248,0.03205756,0.064377606,0,1.0,False,0
0.33185583,0.34185827,0.033345114,0.36700004,1,1.0,False,0
0.33869302,0.5364909,0.040685114,0.08501501,0,1.0,False,0
0.34942284,0.3408101,0.042385414,0.39025146,1,1.0,False,0
0.35623902,0.5353056,0.05019044,0.111227736,1,1.0,False,0
0.36694515,0.7296738,0.052415,-0.16520756,1,1.0,False,0
0.38153863,0.9240078,0.049110845,-0.44090527,0,1.0,False,0
0.40001878,0.7282265,0.04029274,-0.13315459,0,1.0,False,0
0.4145833,0.5325512,0.03762965,0.17196292,1,1.0,False,0
0.42523432,0.727115,0.041068908,-0.10861557,1,1.0,False,0
0.43977663,0.9216251,0.038896598,-0.38806385,0,1.0,False,0
0.45820913,0.7259732,0.031135319,-0.08337532,0,1.0,False,0
0.47272858,0.5304191,0.029467814,0.21896599,1,1.0,False,0
0.483337,0.72510767,0.033847135,-0.06427784,1,1.0,False,0
0.49783912,0.9197284,0.032561574,-0.34609258,0,1.0,False,0
0.5162337,0.72415876,0.025639724,-0.04332222,0,1.0,False,0
0.5307169,0.5286787,0.02477328,0.25733873,1,1.0,False,0
0.54129046,0.7234384,0.029920055,-0.027428523,1,1.0,False,0
0.5557592,0.9181188,0.029371485,-0.3105232,0,1.0,False,0
0.5741216,0.7225909,0.02316102,-0.008723984,1,1.0,False,0
0.5885734,0.91737324,0.02298654,-0.29401028,0,1.0,False,0
0.6069209,0.7219312,0.017106336,0.005832717,1,1.0,False,0
0.6213595,0.9168037,0.01722299,-0.28140426,0,1.0,False,0
0.6396956,0.7214404,0.011594905,0.016660605,1,1.0,False,0
0.6541244,0.9163941,0.011928116,-0.27234155,0,1.0,False,0
0.6724523,0.721104,0.006481285,0.024079543,1,1.0,False,0
0.68687433,0.91613245,0.006962876,-0.26655143,0,1.0,False,0
0.705197,0.7209118,0.0016318471,0.028319478,1,1.0,False,0
0.7196152,0.9160103,0.0021982368,-0.26384813,0,1.0,False,0
0.7379354,0.7208571,-0.0030787261,0.029527325,1,1.0,False,0
0.7523526,0.916023,-0.0024881796,-0.26412538,0,1.0,False,0
0.77067304,0.72093666,-0.0077706873,0.027771711,1,1.0,False,0
0.78509176,0.9161692,-0.007215253,-0.2673528,0,1.0,False,0
0.8034152,0.72115093,-0.012562308,0.023045689,1,1.0,False,0
0.8178382,0.9164508,-0.012101395,-0.27357417,0,1.0,False,0
0.8361672,0.72150356,-0.017572878,0.015267516,0,1.0,False,0
0.85059726,0.526638,-0.017267527,0.3023546,1,1.0,False,0
0.86113,0.72200173,-0.011220436,0.004276274,1,1.0,False,0
0.87557006,0.9172828,-0.01113491,-0.2919256,0,1.0,False,0
0.8939157,0.7223214,-0.016973423,-0.0027751897,0,1.0,False,0
0.90836215,0.5274469,-0.017028926,0.28450444,1,1.0,False,0
0.9189111,0.7228075,-0.011338837,-0.013500269,1,1.0,False,0
0.93336725,0.9180902,-0.011608843,-0.30973905,0,1.0,False,0
0.95172906,0.7231356,-0.017803624,-0.02073972,0,1.0,False,0
0.96619177,0.52827346,-0.018218419,0.2662732,1,1.0,False,0
0.9767572,0.72365063,-0.012892954,-0.03209982,0,1.0,False,0
0.99123025,0.5287159,-0.01353495,0.25648752,1,1.0,False,0
1.0018046,0.72402847,-0.0084052,-0.04043363,1,1.0,False,0
1.0162851,0.9192699,-0.009213872,-0.33575657,0,1.0,False,0
1.0346705,0.7242803,-0.015929004,-0.045993406,0,1.0,False,0
1.0491561,0.52939034,-0.016848871,0.24162151,1,1.0,False,0
1.0597439,0.72474885,-0.012016442,-0.056328014,0,1.0,False,0
1.0742389,0.52980125,-0.013143002,0.23253955,1,1.0,False,0
1.0848349,0.7251085,-0.008492211,-0.06425997,1,1.0,False,0
1.0993371,0.9203512,-0.009777411,-0.3596101,0,1.0,False,0
1.1177441,0.7253696,-0.016969612,-0.07002618,0,1.0,False,0
1.1322515,0.530495,-0.018370137,0.21725482,1,1.0,False,0
1.1428614,0.72587466,-0.01402504,-0.08116577,0,1.0,False,0
1.1573789,0.5309565,-0.015648356,0.20705943,1,1.0,False,0
1.1679981,0.7262987,-0.011507167,-0.09051839,0,1.0,False,0
1.182524,0.5313436,-0.013317535,0.19851193,1,1.0,False,0
1.1931509,0.72665346,-0.009347296,-0.09834215,0,1.0,False,0
1.2076839,0.5316667,-0.011314139,0.19137713,1,1.0,False,0
1.2183173,0.7269487,-0.0074865967,-0.104853354,0,1.0,False,0
1.2328563,0.5319348,-0.009583664,0.18545821,1,1.0,False,0
1.243495,0.7271925,-0.0058744997,-0.110232525,1,1.0,False,0
1.2580388,0.92239815,-0.00807915,-0.404763,0,1.0,False,0
1.2764868,0.7273917,-0.016174411,-0.114638135,0,1.0,False,0
1.2910346,0.5325052,-0.018467173,0.1728983,1,1.0,False,0
1.3016847,0.72788656,-0.015009207,-0.12555274,0,1.0,False,0
1.3162425,0.5329828,-0.017520262,0.1623574,1,1.0,False,0
1.326902,0.7283511,-0.014273114,-0.1358008,0,1.0,False,0
1.3414692,0.5334365,-0.01698913,0.15234521,1,1.0,False,0
1.3521378,0.72879755,-0.013942225,-0.14564863,1,1.0,False,0
1.3667138,0.9241164,-0.016855197,-0.44269726,0,1.0,False,0
1.3851961,0.7292369,-0.025709143,-0.1553748,0,1.0,False,0
1.3997809,0.5344923,-0.028816639,0.12908791,1,1.0,False,0
1.4104707,0.730015,-0.02623488,-0.17254522,0,1.0,False,0
1.425071,0.53527814,-0.029685786,0.11174734,1,1.0,False,0
1.4357766,0.7308126,-0.027450839,-0.19015148,0,1.0,False,0
1.4503928,0.5360939,-0.031253867,0.09374699,1,1.0,False,0
1.4611146,0.7316496,-0.029378928,-0.20863037,0,1.0,False,0
1.4757477,0.5369597,-0.033551537,0.07464217,1,1.0,False,0
1.4864869,0.7325462,-0.032058693,-0.22843474,0,1.0,False,0
1.5011379,0.5378967,-0.036627386,0.053965833,1,1.0,False,0
1.5118958,0.7335242,-0.03554807,-0.2500446,0,1.0,False,0
1.5265663,0.53892744,-0.04054896,0.03121718,0,1.0,False,0
1.5373448,0.34440973,-0.039924618,0.31083578,1,1.0,False,0
1.544233,0.5400771,-0.0337079,0.0058339145,1,1.0,False,0
1.5550345,0.73566586,-0.033591226,-0.2972908,0,1.0,False,0
1.5697478,0.54103845,-0.039537042,-0.015388357,0,1.0,False,0
1.5805686,0.34650514,-0.039844807,0.2645627,1,1.0,False,0
1.5874987,0.5421725,-0.034553554,-0.04041665,0,1.0,False,0
1.5983422,0.34756264,-0.035361886,0.24116716,1,1.0,False,0
1.6052934,0.5431714,-0.030538544,-0.062456794,1,1.0,False,0
1.6161568,0.7387176,-0.03178768,-0.36461625,0,1.0,False,0
1.6309311,0.5440615,-0.039080005,-0.08212359,0,1.0,False,0
1.6418124,0.3495209,-0.04072248,0.19797789,1,1.0,False,0
1.6488029,0.54520094,-0.03676292,-0.10726793,0,1.0,False,0
1.6597068,0.35062456,-0.038908277,0.17359355,1,1.0,False,0
1.6667193,0.54628116,-0.035436407,-0.13110535,0,1.0,False,0
1.677645,0.35168424,-0.038058516,0.1501906,1,1.0,False,0
1.6846787,0.54732996,-0.035054702,-0.1542519,0,1.0,False,0
1.6956252,0.352727,-0.038139742,0.12716922,1,1.0,False,0
1.7026798,0.548374,-0.035596356,-0.1772982,0,1.0,False,0
1.7136472,0.35377902,-0.03914232,0.10394617,0,1.0,False,0
1.7207228,0.15923925,-0.037063397,0.38402742,1,1.0,False,0
